"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 17 18:19:19 CST 2020","Wed Jun 17 18:19:19 CST 2020","0","","test_class","TestClass","","","test_one",""
"failed","Wed Jun 17 18:19:19 CST 2020","Wed Jun 17 18:19:19 CST 2020","1","b_folder","test_d","TestD","","","test_d_1",""
"failed","Wed Jun 17 18:19:19 CST 2020","Wed Jun 17 18:19:19 CST 2020","1","b_folder","test_d","TestD","","","test_d_3",""
"passed","Wed Jun 17 18:19:19 CST 2020","Wed Jun 17 18:19:19 CST 2020","0","a_folder","test_a","TestA","","","test_a_1",""
"passed","Wed Jun 17 18:19:19 CST 2020","Wed Jun 17 18:19:19 CST 2020","0","b_folder.da_folder","test_da","TestDa","","","test_a",""
"failed","Wed Jun 17 18:19:19 CST 2020","Wed Jun 17 18:19:19 CST 2020","0","","test_example","","","","test_answer",""
"passed","Wed Jun 17 18:19:19 CST 2020","Wed Jun 17 18:19:19 CST 2020","0","b_folder","test_d","TestD","","","test_d_2",""
"failed","Wed Jun 17 18:19:19 CST 2020","Wed Jun 17 18:19:19 CST 2020","0","b_folder.da_folder","test_da","TestDa","","","test_b",""
"failed","Wed Jun 17 18:19:19 CST 2020","Wed Jun 17 18:19:19 CST 2020","1","","test_tmpdir","","","","test_needsfiles",""
"failed","Wed Jun 17 18:19:19 CST 2020","Wed Jun 17 18:19:19 CST 2020","0","","test_class","TestClass","","","test_two",""
